242  	12.5338			0.727370431901912966050 37.7481444867154	16.733930717086 16968.3
244	12.596 			0.805234582227620471515 32.5533483378368	14.743155827411 10752.4
246	12.6777			0.882703346529250920973 28.5613223423547	13.124581048470 7128.23
248	12.7703			0.959055851934272063757 25.43196479310	11.793526905061 4915.48
250.	12.868271820083505	1.033823547948615958198	22.9325553752408	10.686161295677	3507.0901589800283
253.125	13.023747102819543	1.146800866483397717678	19.92235096963468	9.29423608057	2191.9483847764313
256.25	13.17563747828429	1.254575781300199641974	17.66959555900497	8.20664425946	1451.7271613131215
259.375	13.32009626022206	1.356914594807555918359	15.93274721125633	7.339041344973	1007.9070632183272
262.5	13.455378966636458	1.453814027711992779516	14.56004026025113	6.634528428911	727.5281411850121
265.625	13.580996835686582	1.545403977716803936319	13.45230015617456	6.053639630914	542.4946846606942
268.75	13.697038658534243	1.631889599970971154744	12.54245226988984	5.5682967563055	415.79192053996144
271.875	13.803881554610516	1.713515959627321138033	11.78375385436576	5.1580644122743	326.2523922150299
275.	13.902095637757329	1.790546159096203419026	11.14276857622158	4.8077675763927	261.23164271541214
281.25	14.07489734283212	1.931884374716428877747	10.1222531047918	4.2437490415549	176.1848753423082
287.5	14.220404709988301	2.057969532923331960403	9.34921390413439	3.8123109574453	125.51177177730496
293.75	14.342759660221596	2.170688635072673925844	8.74569018512629	3.4738591127801	93.37112857217456
296.875	14.396511676347108	2.222565937457598519807	8.49148847913979	3.3311108062482	81.63208426974037
300	14.44579898218631	2.271710150435431895492	8.26286615806955	3.2027308494252	71.93382976239373
306.25	14.532556471786425	2.362486255484832111102	7.86875254105445	2.9816569706758	57.03389587008795
312.5	14.605573599689839	2.444271569583216497823	7.54158170939794	2.7986460633261	46.316140601041646
325.	14.718373287524484	2.585043075577726588339	7.03118099430872	2.5149101197484	32.35657694299944
337.5	14.796910387147697	2.700998964416241832286	6.65273509634047	2.3067676215041	23.996805633102966
343.75	14.826163750356104	2.751352818778443759116	6.49833994741655	2.222621446685	21.0347294616421
350.	14.850033476980299	2.797346084264457748718	6.3619339563322	2.1487347868104	18.62204755729257
362.5	14.884143633929964	2.878012959921308835739	6.13210275397293	2.0253719202342	14.97050628688445
375.	14.90377127608944	2.946000103140945947275	5.94627964107996	1.9268480814216	12.378300725241923
400	14.912123664366604	3.052711946530119352725	5.66507597764393	1.7802838227776	9.026160017338388
425.	14.893010108833074	3.130709955501817789175	5.46318007297801	1.67733307647831	7.013393681624494
450.	14.856965593475087	3.188419002901513518384	5.31174822129862	1.60161756539667	5.704348393558886
475.	14.810507772973214	3.231412142646290602436	5.19430094909714	1.54391764053318	4.800747672344897
500	14.757660364767125	3.263496812244914928378	5.1007717172583	1.49868751358799	4.147729655644555
550.	14.642528518990904	3.304884126722243900959	4.96167343027175	1.43275860906475	3.2807282657153425
600	14.523719443332215	3.326306505202192558076	4.86366749477242	1.38740934424958	2.741429442101589
680	14.338521742673247	3.336760039782260185792	4.75634144126259	1.33900195770241	2.2158217717617994
